,Question,Answer,keywords,count
199,판매자 배송 상품의 반품 상품을 직접 발송할 경우 ,"• 원활한 반품 진행을 위해 판매자에게 연락하시어 계약된 택배사를 통해 발송해 주시기 바랍니다.
• 판매자와 계약하지 않은 다른 택배사를 통해 상품을 반송할 경우 추가 배송비(추가 반품 비용)가 부과될 수 있습니다.
• 판매자 배송 상품의 배송/회수 일정 확인은 판매자 또는 택배사 고객센터로 문의해 주시기 바랍니다. ",SUB,0
200,단순 변심 교환의 경우 ,"로켓배송 상품
• 패션 카테고리 : 무료 교환
• 패션 외 카테고리 : 단순 변심일 경우 교환 불가 반품 후 재구매 
 로켓직구 상품
단순 변심일 경우 교환 불가 반품 후 재구매
 판매자 배송 상품
단순 변심일 경우 교환 불가 반품 후 재구매",SUB,0
201,단순 변심 반품의 경우 ,"로켓배송 상품
• 와우 멤버십 회원 : 무료
• 와우 멤버십 비회원
ㆍ총 주문금액 - 반품 상품금액 = 19800원 미만인 경우 반품비 5000원 차감 후 환불
ㆍ총 주문금액 - 반품 상품금액 = 19800원 이상인 경우 반품비 2500원 차감 후 환불
 로켓직구 상품
• 와우 멤버십 회원 : 5000원 (미국 직구 2600원)
• 와우 멤버십 비회원
ㆍ총 주문금액 - 반품 상품금액 = 29800원 미만인 경우 반품비 5000원 차감 후 환불 (미국 직구 2600원)
ㆍ총 주문금액 - 반품 상품금액 = 29800원 이상인 경우 반품비 2500원 차감 후 환불 (미국 직구 2500원)
• 단 TV 및 일부 전자기기와 같은 특정 제품(다이슨 로봇청소기 등)은 2600원/5000원 보다 높은 교환/반품비가 적용될 수 있음
 판매자 배송 상품
• 배송 시작 이후 최초 배송비를 포함한 왕복 배송비 차감 후 환불
• 반품비는 판매자 및 상품에 따라 상이하며 상황에 따라 별도 입금이 요청될 수 있음
• 도서산간 지역 설치 상품 업체에서 직접 배송하는 상품의 경우 반품비가 추가될 수 있음",SUB,0
202,반품 가능 기간 ,"로켓배송 상품 : 배송 완료 후 30일 이내
로켓프레시 상품 : 단순 변심으로 인한 반품 불가
로켓직구 상품 : 배송 완료 후 7일 이내
로켓모바일 상품 : 주문일 포함 14일 이내
판매자 배송 상품 : 배송 완료 후 7일 이내
티켓 상품 : 티켓의 사용 유효기간 전까지
 단 상품에 따라 반품 조건이 다르므로 정확한 내용은 구매한 상품의 상세페이지 내 배송/교환/반품/판매자 안내를 참고하시기 바랍니다.",SUB,0
203,로켓직구 단순 변심 반품 비용 ,"• 와우 멤버십 회원 : 5000원 (미국 직구 2600원)
• 와우 멤버십 비회원
ㆍ총 주문금액 - 반품 상품금액 = 29800원 미만인 경우 반품비 5000원 차감 후 환불 (미국 직구 2600원)
ㆍ총 주문금액 - 반품 상품금액 = 29800원 이상인 경우 반품비 2500원 차감 후 환불 (미국 직구 2500원)
• 단 TV 및 일부 전자기기와 같은 특정 제품(다이슨 로봇청소기 등)은 2600원/5000원 보다 높은 교환/반품비가 부과될 수 있음",SUB,0
204,결제수단별 환불 일정 ,"• 신용/체크카드 : 영업일(평일) 기준 3~7일 이내 카드사 승인 취소
• 무통장입금 : 영업일(평일) 기준 2~3일 이내 등록된 환불계좌로 환불
－본인이 예금주인 계좌만 등록 가능하며 쿠페이 회원은 환불계좌 미등록 시 쿠페이 머니로 환불
• 휴대폰결제 : 평일(영업일) 기준 2일 내 한도 복구 
－결제 월과 취소 월이 다르거나 휴대폰 해약 등으로 승인 취소가 불가피한 경우 등록된 환불계좌로 환불
－쿠페이 회원은 환불계좌 미등록 시 쿠페이 머니로 환불되며 결제금액은 휴대폰 요금에 청구
• 쿠페이머니 : 당일 환불 (카카오뱅크 계좌이체는 환불 요청일로부터 3일 이내 환불)
• 쿠팡캐시 : 취소 완료 후 당일 캐시 적립",SUB,0
205,교환 시 회수/배송 예상 기간 ,"로켓배송 상품
• 회수 : 접수일로부터 평일(영업일) 기준 1일 이내 쿠팡친구 방문 예정
• 배송 : 접수일로부터 평일(영업일) 기준 1~2일 이내
• 단 협력 택배사 배송지역은 위 기간에서 1~2일 추가
 로켓직구 상품
• 회수 : 접수일로부터 평일(영업일) 기준 1~3일 이내 택배기사 방문 예정
• 배송 : 접수일로부터 평일(영업일) 기준 1~7일 이내
 판매자 배송 상품
• 회수
－일반택배 : 접수일로부터 평일(영업일) 기준 3일 이내 택배기사 방문 예정
－화물택배 : 접수일로부터 평일(영업일) 기준 6일 이내 택배기사 방문 예정
－업체직송 : 판매자 별도 연락 예정
• 배송 : 접수일로부터 평일(영업일) 기준 5~7일 이내
 ※ 위 기간은 일반적인 상황에서의 예상 기간입니다. 재고 판매자 택배사 등 예상치 못한 변수가 발생하면 회수 및 배송 기간은 위에 언급된 것보다 더 소요될 수 있습니다. ",SUB,0
206,단순 변심 반품 비용 ,"로켓배송 상품
• 와우 멤버십 회원 : 무료
• 와우 멤버십 비회원
ㆍ총 주문금액 - 반품 상품금액 = 19800원 미만인 경우 반품비 5000원 차감 후 환불
ㆍ총 주문금액 - 반품 상품금액 = 19800원 이상인 경우 반품비 2500원 차감 후 환불
 로켓직구 상품
• 와우 멤버십 회원 : 5000원 (미국 직구 2600원)
• 와우 멤버십 비회원
ㆍ총 주문금액 - 반품 상품금액 = 29800원 미만인 경우 반품비 5000원 차감 후 환불 (미국 직구 2600원)
ㆍ총 주문금액 - 반품 상품금액 = 29800원 이상인 경우 반품비 2500원 차감 후 환불 (미국 직구 2500원)
• 단 TV 및 일부 전자기기와 같은 특정 제품(다이슨 로봇청소기 등)은 2600원/5000원 보다 높은 교환/반품비가 적용될 수 있음
 판매자 배송 상품
• 배송 시작 이후 최초 배송비를 포함한 왕복 배송비 차감 후 환불
• 반품비는 판매자 및 상품에 따라 상이함
• 도서산간 지역 설치 상품 업체에서 직접 배송하는 상품의 경우 반품비가 추가될 수 있음",SUB,0
207,예시 살펴보기 ,"예시1) 5만원 이상 구매 시 무료배송인 경우
• 구매: A상품 4만원 + B상품 2만원 = 총 6만원 (무료배송 조건 충족)
• 취소: B상품 2만원 부분 취소 = 남은 상품 금액 총 4만원 (무료배송 조건 불충족)
• 환불: 부분 취소한 B상품 2만원에서 배송비를 차감한 후 남은 금액이 환불됩니다.
 예시2) 1만원 이상 구매 시 무료배송인 경우
• 구매: A상품 2천원 * 5개 = 총 1만원 (무료배송 조건 충족)
• 취소: A상품 5개 중 1개 부분 취소 = 남은 상품 금액 총 8천원 (무료배송 조건 불충족)
• 환불: 부분 취소한 A상품의 1개 금액이 배송비보다 작기 때문에 배송비를 입금한 후 부분 취소한 상품의 전액이 환불됩니다.",SUB,0
208,택배사 확인하기  ,마이쿠팡 → 주문목록 → 상품선택 → 배송조회,SUB,0
209,로켓배송 상품 ,기상 상황 주문량 증가 등 예외적인 사유 발생 시 배송예정일보다 배송이 다소 지연될 수 있습니다. 배송 지연이 발생하면 변경된 배송예정일을 별도로 안내해 드립니다. 마이쿠팡에서 주문한 상품의 배송예정일 확인이 가능하며 지연으로 상품이 필요 없어진 경우엔 주문취소를 부탁드립니다. 단 배송상태에 따라 주문취소가 불가한 단계이면 반품 접수로 진행될 수 있습니다. 신선/냉장/냉동 상품은 재판매가 불가한 상품의 특성상 단순 변심에 의한 반품이 제한됩니다.,SUB,0
210,로켓직구 상품 ,현지 상황 항공기/선박 일정 주문량 증가 등 예외 사유 발생 시 배송예정일 보다 배송이 다소 지연될 수 있습니다. 해외에서 발송되는 상품이기에 통관 과정에서 지연될 수 있으며 이러한 경우 관세사에서 고객님께 연락을 드리고 있습니다. 관세사에서 연락을 받지 못하셨고 구매 당시에 확인된 배송예정일 내에 상품을 받지 못하셨다면 마이쿠팡에서 무료로 주문취소 신청이 가능합니다.,SUB,0
211,판매자 배송 상품 ,"상품이 아직 택배사에서 출발하지 않은 상태에서 운송장이 먼저 등록될 경우 상품준비중 단계에서 멈춰 있을 수 있습니다. 또한 택배사에서 배송이 지연될 경우 배송 중에 배송 흐름이 멈춰 있을 수 있습니다. 구매 당시에 확인된 배송예정일 내에 상품을 받지 못하셨다면 마이쿠팡에서 무료로 주문취소 신청이 가능합니다.
 택배사에 문의하기
• 마이쿠팡 → 주문목록 → 상품선택 → [택배 배송기사에게 전화하기]
• 택배기사 연락처는 배송완료 직후까지만 확인할 수 있습니다.
 판매자에 문의하기
• 마이쿠팡 → 주문목록 → 상품선택 → [‘판매자명’에 문의하기]
• 상품 상세페이지 내 배송/교환/반품/판매자 안내에서 판매자 연락처 확인 가능
 주문 취소하기
• 마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 
• 이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.",SUB,0
212,판매자 배송 상품 참고사항 ,"• 판매자 배송 상품의 경우 '자세히 보기' 아래의 송장번호를 클릭한 후 배송조회를 클릭하면 각 택배사 페이지를 통해서도 상세한 배송 현황을 확인할 수 있습니다.
• 배송 현황이 확인되지 않는다면 아직 출고 작업 중이거나 주문 당일 상품을 발송하여 시스템에 운송장 번호가 등록되지 않은 상황입니다.",SUB,0
213,로켓배송 상품을 받지 못한 경우 ,"• 마이쿠팡 → 주문목록 → 상품선택 → [교환 반품신청]
• 이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.",SUB,0
214,판매자 배송 상품을 받지 못한 경우 ,"택배사에 문의하기
• 마이쿠팡 → 주문목록 → 상품선택 → [택배 배송기사에게 전화하기]
• 택배기사 연락처는 배송완료 직후까지만 확인할 수 있습니다.
 판매자에 문의하기
• 마이쿠팡 → 주문목록 → 상품선택 → [‘판매자명’에 문의하기]
• 상품 상세페이지 내 배송/교환/반품/판매자 안내에서 판매자 연락처 확인 가능",SUB,0
215,선물 받은 상품을 받지 못한 경우 ,"• 받는 사람에게 발송된 문자 또는 카카오톡 메시지 내 [배송조회] 링크 접속하여 관련 정보 재확인
• 이후에도 확인이 어려운 경우 쿠팡 고객센터로 연락 주시기 바랍니다.",SUB,0
216,교환/반품 안내사항 ,"• 반품 비용을 제외한 환불 예정금액은 반품 접수 화면에서 확인이 가능합니다.
• 교환 접수 시 평일 1~3일 내로 배송직원 또는 택배기사가 방문하여 상품을 회수합니다. 
• 교환 접수 시 새 상품의 배송까지는 최대 7일이 걸립니다.
• 상품 문제로 인한 교환이 아닌 경우 교환 비용이 발생하며 고객님께서 부담하게 됩니다.",SUB,0
217,파손에 의한 교환/반품 가능 기간 ,"파손/불량/오배송 등(판매자 귀책)의 경우
물품을 수령한 날부터 3개월 이내 또는 그 사실을 알거나 알 수 있었던 날부터 30일 이내
 표시 광고 상이 물품 하자(초기불량)의 경우
물품을 수령한 날부터 3개월 이내 또는 그 사실을 알거나 알 수 있었던 날부터 30일 이내
 단 상품에 따라 교환/반품 조건이 다르므로 정확한 내용은 구매한 상품의 상세페이지 내 배송/교환/반품/판매자 안내를 참고하시기 바랍니다. ",SUB,0
218,쿠팡 배송직원의 배송이 가능/불가능할 경우 ,"쿠팡 배송직원의 배송 가능 지역
• 당일 밤 12시까지 결제완료 시 내일 상품 도착(토/일/공휴일 포함)
• 로켓배송 배지 노출
 쿠팡 배송직원의 배송 불가 지역
• 협력택배사를 통해 배송되어 와우 멤버십 및 로켓프레시 이용 제한
• 결제일 기준 D+2 소요(일/공휴일 제외)
• +2일 갈색 배지 노출",SUB,0
219,배송현황 확인하기 ,"• 마이쿠팡 → 주문목록 → 상품선택 → 배송조회
• 주문/결제 시 선택한 배송주소지에 따른 배송예정일 확인 가능",SUB,0
220,이미지로 확인하기 ,,SUB,0
221,영수증 확인 및 출력하기 ,"기간별 일괄 확인하기 (PC에서만 가능)
① 마이쿠팡 → MY쇼핑 → 영수증 조회/출력 이동
② [현금영수증] 또는 [신용카드 매출전표] 탭 선택
③ [현금영수증 신청내역] 또는 [신용카드 매출전표 신청내역] 선택
④ [영수증 출력] 선택
⑤ [프린트하기] 선택 
 주문 개별 확인하기
① 마이쿠팡 → MY쇼핑 → 주문목록 이동
② 해당 주문에서 [주문 상세보기] 선태
③ 하단 [결제영수증 정보] 
④ [현금영수증] 또는 [카드영수증] 선택
⑤ [프린트하기] 또는 [출력] 선택 
 기타 안내사항
• 2015년 7월 16일 이전 무통장 입금의 경우 국세청 홈페이지를 통해 확인 부탁드립니다. 
• 휴대폰 결제의 경우 [결제영수증 조회/발급] → 결제대행사(PG사)의 거래내역 조회 페이지 연결
• 휴대폰 결제 영수증의 경우 결제 후 다음 달 휴대폰 요금을 납부하시면 통신사에서 영수증을 자동 발행합니다.
• 쿠페이 휴대폰 결제수단 등록은 2018년 11월 5일부로 종료되었습니다. (단 이전 등록 고객은 계속 이용가능)",SUB,0
222,현금영수증 신청하기 ,"주문/결제 시 신청하기
• 상품 선택 후 주문/결제 페이지 [현금영수증]란에서 등록/변경 가능
• 계좌이체 쿠페이머니 무통장입금(가상계좌) 현금성캐시(기프트카드)를 결제 수단으로 선택할 때만 현금영수증란 노출  
 주문/결제 전 신청하기 (쿠페이)
마이쿠팡 → 결제수단∙쿠페이 → [현금영수증 설정]란에서 등록/변경 가능",SUB,0
